,Mass_%_Recovered,Temperature,Average,Standard_Deviation,Acronym
3,20,133.5,129.0,10.4,MPR
4,30,171.2,172.2,11.3,MPR
5,40,212.2,220.0,15.6,MPR
6,50,263.4,274.7,16.0,MPR
7,60,318.3,330.7,15.4,MPR
8,70,378.1,394.2,15.8,MPR
9,80,449.9,467.6,18.1,MPR
10,90,555.2,579.8,32.5,MPR
11,95,641.8,653.8,30.2,MPR
12,99,,,,MPR
0,IBP,34.7,33.8,1.1,P
1,5,36.9,52.7,12.3,P
2,10,91.8,90.3,10.0,P
3,20,136.9,134.1,11.0,P
4,30,181.4,180.3,11.4,P
5,40,236.6,234.6,14.0,P
6,50,300.3,293.6,13.5,P
7,60,359.1,353.6,13.8,P
8,70,422.5,418.8,13.5,P
9,80,506.9,495.4,18.4,P
10,90,631.3,610.6,34.5,P
11,95,,675.2,35.7,P
12,99,,,,P
0,IBP,34.4,33.3,1.4,MSE
1,5,45.0,55.2,19.5,MSE
2,10,82.4,97.2,12.4,MSE
3,20,163.6,158.9,9.0,MSE
4,30,223.9,219.0,7.8,MSE
5,40,277.5,273.7,7.7,MSE
6,50,327.8,325.3,7.7,MSE
7,60,382.2,382.0,8.4,MSE
8,70,438.4,439.8,9.6,MSE
9,80,506.4,513.5,12.9,MSE
10,90,603.7,618.7,23.8,MSE
11,95,675.3,676.9,16.3,MSE
12,99,,,,MSE
